appppid,name,price,description
S01,WhatsApp Sales Bot,15000,Automate 95% of customer queries with intelligent conversational AI
S02,PDF Knowledge Base,25000,Private RAG system for your documents to enable semantic search
S03,Autonomous Inventory,45000,AI that manages stock levels and predicts demand
S04,Email Campaign Automation,12000,Smart email sequences based on customer behavior
S05,Customer Support Chatbot,20000,24/7 multilingual support for your business
S06,Lead Scoring System,18000,AI-powered lead qualification and prioritization
S07,HR Resume Screener,Corporate HRs,18000,Automatically filters 100s of resumes against job descriptions.
S08,Legal Document Pro,Law Firms,35000,RAG system trained on Indian Law to summarize case files.
S09,D2C Review Analyst,E-com Brands,12000,Analyses Amazon/Flipkart reviews to find product flaws.
S010,Real Estate Virtuoso,Property Dealers,22000,Handles property inquiries and suggests flats based on budget.
